"NUMBER","INETSDESC","INETSHORTD","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"A4499GU             ","Guardian Angel pocket stone                                                                                             ","This small stone is inscribed with an Angel and is quite useful in meditation and prayer. One amulet with an angel on one side and the word “Guardian” on the other. Pewter. Made in USA. 1” x 5/8”","73","0.01","3.5",,0,"A4499GU.jpg                              ",0
"A4499LO             ","Love Angel pocket stone                                                                                                 ","This small stone is inscribed with an Angel and is quite useful in meditation and prayer. One amulet with an angel on one side and the word “Love” on the other. Pewter. 1” x 5/8”. Made in USA","87","0.01","3.5",,0,"A4499LO.jpg                              ",0
"A4499PE             ","Peace Angel pocket stone                                                                                                ","This small stone is inscribed with an Angel and is quite useful in meditation and prayer. One amulet with an angel on one side and the word “Peace” on the other. Pewter. 1” x 5/8”. Made in USA","51","0.01","3.5",,0,"A4499PE.jpg                              ",0
"A4502A              ","Angel pocket stone                                                                                                      ","Embossed with a angel, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA","53","0.03","2.95",,0,"A4502At.jpg                          ",0
"A4502B              ","Buddha pocket stone                                                                                                     ","This pewter pocket stone bears the image of the Buddha. This is intended to remind you to seek inner peace and the middle way in all things. Pewter. 3/4"".  Made in USA","74","0.03","2.95",,0,"A4502B.JPG                               ",0
"A4502C              ","Clover pocket stone                                                                                                     ","A favorite token of good luck, the four leaf clover, has been engraved in this pocket stone. Carry it with you for good luck. Pewter. 5/8"" x 1"" Made in USA","308","0.03","2.95",,0,"A4502C.jpg                               ",0
"A4502CR             ","Cross pocket stone                                                                                                      ","The cross pocket stone features the cut out of a cross in a pewter stone. Pewter. 1"" x 5/8"" Made in USA","75","0.03","2.95",,0,"A4502CR.jpg                              ",0
"A4502GO             ","Goddess pocket stone                                                                                                    ","The Goddess Pocket stone is a great focus to help you stay in tune with the divine feminine or help guide you through your meditations.  Pewter. 1"" x 5/8"" Made in USA","132","0.03","2.95",,0,"A4502GO.jpg                              ",0
"A4502H              ","Heart pocket stone                                                                                                      ","A small, heart shaped, pewter pocket stone decorated with tiny swirls.  Pewter. 1"" x 5/8"" Made in USA","135","0.03","2.95",,0,"A4502H.jpg                               ",0
"A4502HA             ","Hamsa pocket stone                                                                                                      ","The Hamsa Pocket Stone portrays the Hamsa Hand; an ancient symbol used most frequently to ward off the evil eye. Pewter. 1"" x 5/8"" Made in USA","225","0.03","2.95",,0,"A4502HA.jpg                              ",0
"A4502OM             ","Om pocket stone                                                                                                         ","This pocket stone inscribed with the Om symbol is a potent aid, helping you to find a connection with the divine when you need it most.  Pewter. 1"" x 5/8"" Made in USA","109","0.03","2.95",,0,"A4502OM.JPG                              ",0
"A4502P              ","Peace pocket stone                                                                                                      ","With a Peace Sign marking its face, this pewter stone is a great meditation or prayer aid when seeking calm and serenity. Pewter. 1"" x 5/8"" Made in USA","27","0.03","2.95",,0,"A4502P.JPG                               ",0
"A4502ST             ","Pentagram pocket stone                                                                                                  ","Embossed with a pentagram, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA","419","0.03","2.95",,0,"A4502ST.JPG                              ",0
"A4502WH             ","Witch's Hat pocket stone                                                                                                ","Displaying the classic Witch's Hat, this pocket stone can function as a powerful focus to aid you in turning negative energy into positive.  Pewter. 1"" x 5/8"" Made in USA","16","0.03","2.95",10/11/2019 0:00:00,0,"A4502WH.JPG                              ",0
"A4502WI             ","Witch on Broom pocket stone                                                                                             ","Witch on a broom is a classic figure. Use as a talisman, worry stone, or in a mojo pouch. Solid pewter Heavy casting. 1"" Made in USA.","64","0.03","2.95",,0,"A4502WI.jpg                              ",0
"A4506RA             ","Raven mystical stone                                                                                                    ","Unlock secrets, wisdom, and wellness through the aid of the Raven with the Raven Mystical stone talisman.  Pewter. 1 1/4"" x 7/8"" Made in USA","44","0.03","6.95",,0,"A4506RA.jpg                              ",0
"A4506WO             ","Wolf mystical stone                                                                                                     ","The wolf mystical stone is great for use as a magical talisman offering the balance and guidance of a wolf pack. Use it to learn to pursue independence while remaining part of the group, or to help inspire cooperation, loyalty, and find freedom. Pewter. 1 1/4"" x 7/8"", Made in USA.","24","0.03","6.95",,0,"A4506WO.jpg                              ",0
"A7AFRC              ","7 African Powers coin                                                                                                   ","Etched with a timeless symbol of the Orishas, this powerful coin is a powerful symbol of protection and aid. Made in USA. No cord. Pewter. 1 1/4""","59","0.03","7.95",,0,"A7AFRC.JPG                               ",0
"A7MET               ","7 Metals amulet                                                                                                         ","Using alchemy this amulet uses lead, tin, iron, gold, copper, mercury and silver fused onto a base of pyrite. Tapping into the power of alchemy &amp; astrology multiplied by 7, bringing you luck and prosperity. No cord. 1/2""","0","0.02","4.95",12/1/2019 0:00:00,0,"A7MET.JPG                                ",0
"AACARI              ","Ariel angel charm                                                                                                       ","The Archangel Ariel celebrates the power and beauty of womanhood. Often depicted as a fierce lioness, Ariel helps us find purity and holiness in nature. The silver plated Ariel Angel charm measures approximately 1 1/2"" L x 1 /1/4"" W, with the additional measurement of 3 charms.","30","0.05","10.95",,1,"AACARI.jpg                               ",0
